,분류,공연/행사명,날짜/시간,장소,이용대상,이용요금,홈페이지?주소,대표이미지,유무료
0,전시/미술,K-핸드메이드페어 2025,2025-12-18~2025-12-21,서울 삼성동 코엑스 1층  B홀,누구나,"사전 예매가: 8,000원, 현장 구매가: 10,000원",https://k-handmade.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42afe00583eb4b0983dba37a04a41222&thumb=Y,유료
1,축제-문화/예술,2025 금천하모니축제,2025-10-18~2025-10-19,"금천구청광장, 안양천다목적광장, 금천구 전역",누구나,,https://www.instagram.com/geumcheon_harmony/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=520ec510b1db4ca6976e8f87402fd6d1&thumb=Y,무료
2,축제-문화/예술,2025 서울라이트 한강 빛섬축제,2025-10-03~2025-10-12,뚝섬 한강공원,누구나,,https://bitseomfestival.com/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b13d2032bec441088ab18e1f0164eaa6&thumb=Y,무료
3,축제-문화/예술,[광진문화재단] 제4회 2025 나루 스트릿 댄스 페스티벌,2025-09-20~2025-09-20,나루아트센터 야외광장,전체관람,,https://www.naruart.or.kr/exhibition/program_view.php?page=1&sch_tab=date&sch_year=2025&sch_month=09&idx=10111,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a3ab97a289ab44eba250ef33e4314175&thumb=Y,무료
4,전시/미술,2025 핸드아티코리아,2025-08-07~2025-08-10,코엑스전시장 C홀,누구나,"일반 (2006년생 이상): 12,000 / 청소년 (2018 - 07년생): 6,000원",https://handarty.co.kr/coex/exhibition/handartykorea/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39c8b53e2d9e4eac963dc0497f57afed&thumb=Y,유료
5,전시/미술,서울일러스트레이션페어 V.19,2025-07-24~2025-07-27,코엑스 C홀,누구나,"성인: 15,000원 / 청소년 : 9,000원",https://seoulillustrationfair.co.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d206651883046d382fdde994dc9313b&thumb=Y,유료
6,클래식,[전문연주자시리즈] 강동엽 비올라 독주회,2025-06-30~2025-06-30,영산아트홀,초등학생 이상 관람가,"전석 30,000원",https://www.youngsanarthall.com/rb/?m=schedulearthall&front=view&no=9035&cate=1&year=2025&month=6,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f3b83d9ecdfe4cc2bd7e516054800d8d&thumb=Y,유료
7,독주/독창회,정진우 바이올린 독주회 ,2025-06-29~2025-06-29,금호아트홀 연세 ,미취학 입장 불가 ,"전석 20,000원 (학생 50%할인)",http://withclassic.kr/product/view.html?pid=13&cate1=94&cate2=97&no=419,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dee5cb007cd14a279d9f98906c04b2b5&thumb=Y,유료
8,클래식,카이로스 앙상블 제3회 정기연주회,2025-06-27~2025-06-27,세종문화회관 체임버홀 ,초등학생 이상,"일반석 20,000원(학생 10,000원)",https://blog.naver.com/clara32/223841325435,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=562b643f372e4feba7e2767a51a90b4e&thumb=Y,유료
9,교육/체험,[중랑구립정보도서관] 중랑 이음:인문학 6월 이낙준의사 [대한민국 의학의 역사],2025-06-27~2025-06-27,중랑구립정보도서관 4층 강당,서울시민 누구나,"5,000원",https://www.jungnanglib.seoul.kr/jnlib/menu/10204/bbs/20005/bbsPostDetail.do?postIdx=158675,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e2bb7150407946f9ab2d96ee5af1306a&thumb=Y,유료
10,클래식,[동대문문화재단] 2025 기획공연 와인et멜로디 vol.3 김유진,2025-06-27~2025-06-27,선농단역사문화관 문화중정,성인,"전석 30,000원(동대문구민 50% 할인)",https://ddmac.or.kr/sub09/sub01.php?type=view&uid=8420,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fd03730b20c74667b68b5cb5cf1a7961&thumb=Y,유료
11,연극,[서울생활문화센터 서교] 소셜드라마클럽 입체낭독극 [콘센트],2025-06-27~2025-06-27,서교스퀘어 (서울 마포구 서교동 494),누구나,,https://seogyocenter.or.kr/programall/?idx=535,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e243d48c2f0a4491ba4454485e568f94&thumb=Y,무료
12,독주/독창회,김정현 플루트 독주회 ,2025-06-25~2025-06-25,세종문화회관 체임버홀,초등학생 이상,"전석 20,000원",https://blog.naver.com/clara32/223841207678,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5be2049727744e14a4e7c0c4ab2acc65&thumb=Y,유료
13,교육/체험,[서울시립 북서울미술관] 해커톤 프로젝트 [동시대 회화 진단],2025-06-20~2025-06-20,서울시립 북서울미술관 B1 스튜디오2,성인,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1401025,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d659b34aa98f4c71b233e8d5d021d914&thumb=Y,무료
14,클래식,하나은행과 함께하는 함신익과 심포니 송 마스터즈 시리즈 VI [영웅들을 추모하며],2025-06-20~2025-06-20,롯데콘서트홀,누구나,"VIP석 12만원, R석 10만원, S석 7만원, A석 5만원, B석 3만원, C석 2만원 ",https://www.lotteconcerthall.com/kor/Performance/ConcertDetails/260613,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b1d3612685084b6f85737c89ddeb37ef&thumb=Y,무료
15,무용,[마포문화재단] 2025 M발레시리즈 해설이 있는 발레 [Ballet Plus-낭만발레로의 초대],2025-06-19~2025-06-19,마포아트센터 아트홀맥,만 5세 이상 관람가,"전석 10,000원",https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2494&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=99ce5539d15f4cf686fbe51c3d503179&thumb=Y,유료
16,교육/체험,[세종예술아카데미] 퇴근길 미술 한 잔 : 모네에서 앤디워홀까지,2025-06-18~2025-07-09,세종예술아카데미  서클홀,관심있는 누구나,"120,000원",https://www.sejongpac.or.kr/portal/academy/academyProgram/view.do?courseCd=CS102103250230000007&menuNo=200560&searchYear=2025&listType=1&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=175257e9110e437496096a558714901a&thumb=Y,유료
17,교육/체험,[동대문문화재단] 체인지어스 종이팩으로 환경을 체인지,2025-06-18~2025-06-18,장안어린이도서관 3층 강의실,초등 1~3학년,,https://www.ddmac.or.kr/sub09/sub03.php?type=view&uid=8514,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f66c479a1c714c2585a7ddfb9d3faa80&thumb=Y,무료
18,뮤지컬/오페라,[중구문화재단] 뮤지컬 [멤피스],2025-06-17~2025-09-21,충무아트센터 대극장,14세 이상 관람가(2012년 포함 이전 출생자)," VIP석 170,000원 / R석 140,000원 / S석 110,000원 / A석 80,000원",https://www.caci.or.kr/product/ko/performance/2479,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4ad76aba1dd4462fab0a4ad5c28ef565&thumb=Y,유료
19,축제-전통/역사,[도봉문화원] 제5회 도봉옛길 문화제 [어? 흥(興)!],2025-06-16~2025-06-21,평화울림터(평화문화진지) ,누구나,,https://www.dobong.or.kr/main/main.php?categoryid=06&menuid=01&groupid=00&board=view&no=3229,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e07377fc13344a9c9f1022cd22e8214b&thumb=Y,무료
